date,Italy,Spain
2/20/20,3,2
2/21/20,20,2
2/22/20,62,2
2/23/20,155,2
2/24/20,229,2
2/25/20,322,6
2/26/20,453,13
2/27/20,655,15
2/28/20,888,32
2/29/20,1128,45
3/1/20,1694,84
3/2/20,2036,120
3/3/20,2502,165
3/4/20,3089,222
3/5/20,3858,259
3/6/20,4636,400
3/7/20,5883,500
3/8/20,7375,673
3/9/20,9172,1073
3/10/20,10149,1695
3/11/20,12462,2277
3/12/20,12462,2277
3/13/20,17660,5232
3/14/20,21157,6391
3/15/20,24747,7798
3/16/20,27980,9942
3/17/20,31506,11748
3/18/20,35713,13910
3/19/20,41035,17963
3/20/20,47021,20410
3/21/20,53578,25374
3/22/20,59138,28768
3/23/20,63927,35136
3/24/20,69176,39885
3/25/20,74386,49515
3/26/20,80589,57786
3/27/20,86498,65719
3/28/20,92472,73235
3/29/20,97689,80110
3/30/20,101739,87956
3/31/20,105792,95923
4/1/20,110574,104118
4/2/20,115242,112065
4/3/20,119827,119199
4/4/20,124632,126168
4/5/20,128948,131646
4/6/20,132547,136675
4/7/20,135586,141942
4/8/20,139422,148220
4/9/20,143626,153222
4/10/20,147577,158273
4/11/20,152271,163027
4/12/20,156363,166831
4/13/20,159516,170099
4/14/20,162488,172541
4/15/20,165155,177644
4/16/20,168941,184948
4/17/20,172434,190839
4/18/20,175925,191726
4/19/20,178972,198674
4/20/20,181228,200210
4/21/20,183957,204178
4/22/20,187327,208389
4/23/20,189973,213024
4/24/20,192994,202990
4/25/20,195351,205905
4/26/20,197675,207634
4/27/20,199414,209465
4/28/20,201505,210773
4/29/20,203591,212917
4/30/20,205463,213435
5/1/20,207428,213435
5/2/20,209328,216582
5/3/20,210717,217466
5/4/20,211938,218011
5/5/20,213013,219329
